Week,Year,Week_Numer,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name
1/5/03,2003,1,248064,-79919,569143,0.4359,51.43,250,4823,8600,8,0.561,-0.136,The Graduate
3/18/90,1990,11,118584,118584,0,,0,0,3890,0,7,0,0,The Grapes Of Wrath
4/2/00,2000,14,27155,27155,62510,0.4344,58.4,75,465,1037,1,0.448,0,The Green Bird
3/1/15,2015,9,305345,305345,891192,0.3426,51.05,223,5981,8008,8,0.747,0,The Heidi Chronicles
1/6/13,2013,1,380424,-115780,898072,0.4236,78.42,275,4851,7608,8,0.638,0.03,The Heiress
4/12/92,1992,15,26610,26610,0,,0,0,2083,0,8,0,0,The High Rollers Social And Pleasure Club
4/9/06,2006,15,211041,211041,285811,0.7384,70.87,176.25,2978,3480,3,0.856,0,The History Boys
1/6/08,2008,1,335279,24108,639722,0.5241,62.04,226.5,5404,8656,8,0.624,0.063,The Homecoming
4/10/11,2011,15,485320,485320,721913,0.6723,76.8,275,6319,6587,7,0.959,0,The House Of Blue Leaves
1/1/17,2017,1,814555,392196,1098423,0.7416,97.99,297,8313,9315,9,0.892,0.19,The Humans
3/25/18,2018,12,391717,391717,373380,1.0491,186.8,397,2097,2108,2,0.995,0,The Iceman Cometh
1/3/16,2016,1,1801327,438646,2200287,0.8187,118.91,250,15149,17979,13,0.843,-0.023,The Illusionists Live On Broadway
1/1/17,2017,1,2397106,1569681,3536949,0.6777,98.63,247,24305,28747,17,0.845,0.166,The Illusionists Turn Of The Century
1/4/15,2015,1,2217405,406177,2432100,0.9117,118.69,175,18683,19164,12,0.975,0.029,The Illusionists Witness The Impossible
1/2/11,2011,1,235694,72978,652200,0.3614,56.83,117,4147,5920,8,0.701,0.067,The Importance Of Being Earnest
3/4/01,2001,9,96135,96135,168806,0.5695,31.35,60,3067,3632,4,0.844,0,The Invention Of Love
4/26/98,1998,17,288816,288816,313734,0.9206,52.08,60,5546,6090,5,0.911,0,The Judas Kiss
11/7/93,1993,45,99788,99788,0,,0,0,4568,0,8,0,0,The Kentucky Cycle
1/3/16,2016,1,1050922,-43100,1364960,0.7699,150.39,297,6988,8376,8,0.834,-0.057,The King And I
1/4/98,1998,1,207477,15362,259695,0.7989,51.93,55,3995,4776,8,0.836,0.079,The Last Night Of Ballyhoo
1/4/15,2015,1,953165,89161,1243260,0.7667,106.08,225,8985,10792,8,0.833,0.107,The Last Ship
4/23/06,2006,17,155784,155784,384912,0.4047,47.39,176.25,3287,5532,6,0.594,0,The Lieutenant Of Inishmore
1/4/98,1998,1,441776,19231,592224,0.746,59.56,75,7417,8608,8,0.862,0.003,The Life
1/1/06,2006,1,679579,328882,781675,0.8694,87.9,100,7731,8328,8,0.928,0.287,The Light In The Piazza
2/21/99,1999,8,61969,61969,112275,0.5519,46.04,60,1346,1497,3,0.899,0,The Lion In Winter
1/7/18,2018,1,2622799,-477131,2548655,1.0291,173.22,225,15141,15264,9,0.992,-0.008,The Lion King
1/7/07,2007,1,185537,-111113,547754,0.3387,46.33,201.25,4005,8656,8,0.463,-0.172,The Little Dog Laughed
4/2/17,2017,14,259953,259953,531540,0.4891,71.91,150,3615,3900,6,0.927,0,The Little Foxes
1/4/09,2009,1,1159724,-9046,1128090,1.028,98.59,250,11763,12160,8,0.967,0.045,The Little Mermaid
4/25/99,1999,17,60393,60393,327663,0.1843,21.74,60,2778,7392,8,0.376,0,The Lonesome West
4/6/03,2003,14,104336,104336,0,,38.42,90,2716,4108,4,0.661,0,The Look Of Love
4/8/12,2012,15,48615,48615,561130,0.0866,16.93,198,2871,5395,5,0.532,0,The Lyons
7/2/00,2000,27,151471,151471,265320,0.5709,46.46,65,3260,3685,5,0.885,0,The Man Who Came To Dinner
4/21/02,2002,16,128580,128580,218714,0.5879,41.34,65,3110,3700,5,0.841,0,The Man Who Had All The Luck
3/15/92,1992,11,123151,123151,0,,0,0,5465,0,8,0,0,The Master Builder
1/2/11,2011,1,1175750,76330,1066275,1.1027,142.24,300,8266,8064,7,1.025,-0.001,The Merchant Of Venice
4/5/87,1987,14,106550,106550,0,,0,0,5430,0,8,0,0,The Mikado
2/14/10,2010,7,122265,122265,266340,0.4591,60.23,200,2030,2316,3,0.877,0,The Miracle Worker
9/23/90,1990,38,33103,33103,0,,0,0,2281,0,4,0,0,The Miser
1/15/95,1995,3,90410,90410,0,,0,0,3153,0,7,0,0,The Moliere Comedies
1/26/92,1992,4,51503,51503,0,,0,0,2772,0,4,0,0,The Most Happy Fella
3/20/11,2011,12,271872,271872,746940,0.364,56.92,275,4776,6426,6,0.743,0,The Motherf  Ker With The Hat
1/1/12,2012,1,688919,688919,1158056,0.5949,88.97,225,7743,9585,9,0.808,0,The Mountaintop
1/7/01,2001,1,436030,-406965,732133,0.5956,70.9,90,6150,10640,8,0.578,-0.411,The Music Man
4/5/87,1987,14,50704,50704,0,,0,0,3698,0,6,0,0,The Musical Comedy Murders
4/21/02,2002,16,22310,22310,219633,0.1016,28.9,66.25,772,4072,4,0.19,0,The Mystery Of Charles Dickens
1/6/13,2013,1,396214,-163886,928200,0.4269,64.05,137,6186,8032,8,0.77,-0.099,The Mystery Of Edwin Drood
3/24/13,2013,12,199627,199627,373840,0.534,71.42,120,2795,3664,4,0.763,0,The Nance
3/10/96,1996,10,121793,121793,0,,34.87,50,3493,0,7,0,0,The Night Of The Iguana
4/24/11,2011,17,130853,130853,659040,0.1986,23.27,198,5623,6432,8,0.874,0,The Normal Heart
4/12/09,2009,15,96012,96012,532350,0.1804,51.84,175,1852,5460,7,0.339,0,The Norman Conquests
1/1/06,2006,1,962662,110377,849250,1.1335,110.5,250,8712,8616,8,1.011,0,The Odd Couple
1/4/98,1998,1,222082,-24445,304596,0.7291,41.9,55,5300,6200,8,0.855,-0.006,The Old Neighborhood
1/6/13,2013,1,167770,9033,565416,0.2967,37.47,120,4477,5152,8,0.869,0.158,The Other Place
1/23/06,2006,4,383326,383326,420810,0.9109,92.82,101.25,4130,4344,6,0.951,0,The Pajama Game
1/7/18,2018,1,407628,-239164,1037246,0.393,71.02,260,5740,7816,8,0.734,-0.141,The Parisian Woman
1/2/11,2011,1,993845,458458,1102770,0.9012,114.04,225,8715,9495,9,0.918,0.202,The Pee Wee Herman Show
4/3/11,2011,14,87141,87141,411820,0.2116,32.42,122,2688,3988,4,0.674,0,The People In The Picture
10/28/12,2012,44,187397,187397,674940,0.2777,42.76,135,4383,7539,7,0.581,0,The Performers
4/20/86,1986,16,43262,43262,0,,0,0,3086,0,6,0,0,The Petition
1/7/18,2018,1,1233621,-912505,1356418,0.9095,97.48,213,12655,12840,8,0.986,-0.021,The Phantom Of The Opera
4/12/09,2009,15,119727,119727,270103,0.4433,46.05,111.5,2600,2960,4,0.878,0,The Philanthropist
1/6/91,1991,1,123592,-60029,0,,0,0,5250,0,8,0,0,The Piano Lesson
3/27/05,2005,13,245670,245670,502137,0.4892,60.29,96.25,4075,6200,8,0.657,0,The Pillowman
3/11/07,2007,10,615585,615585,1167500,0.5273,57.34,111.25,10735,12593,7,0.852,0,The Pirate Queen
9/19/10,2010,38,189291,189291,564744,0.3352,49.28,116,3841,5200,8,0.739,0,The Pitmen Painters
1/7/18,2018,1,453677,-253639,677688,0.6694,77.63,213,5844,6832,8,0.855,-0.065,The Play That Goes Wrong
3/9/03,2003,10,6893,6893,7754,0.889,2.09,4,3305,3628,4,0.911,0,The Play What I Wrote
6/18/95,1995,25,32682,32682,0,,0,50,1240,1497,3,0.828,0,The Play S The Thing
1/1/17,2017,1,969495,25511,939967,1.0314,131.6,272,7367,7371,7,0.999,0.032,The Present
2/19/17,2017,8,280192,280192,383092,0.7314,95.17,250,2944,2960,4,0.995,0,The Price
10/29/89,1989,44,49213,49213,0,,0,0,3252,0,7,0,0,The Prince Of Central Park
1/7/07,2007,1,614990,-487732,1042163,0.5901,62.93,241.25,9772,13648,8,0.716,-0.185,The Producers
1/2/00,2000,1,147501,-36111,204759,0.7204,37.33,65,3951,4990,5,0.792,0.162,The Rainmaker
4/21/13,2013,16,646622,646622,835825,0.7736,109.8,298,5889,6695,5,0.88,0,The Rascalsonce Upon A Dream
8/2/92,1992,31,61135,61135,0,,0,0,2398,0,7,0,0,The Real Inspector Hound
1/4/15,2015,1,462361,28213,559356,0.8266,89.24,0,5181,5180,7,1,0.066,The Real Thing
3/16/14,2014,11,253222,253222,362864,0.6978,89.13,223,2841,3488,4,0.815,0,The Realistic Joneses
11/7/93,1993,45,356071,356071,0,,0,0,12571,0,8,0,0,The Red Shoes
4/12/87,1987,15,35673,35673,0,,0,0,2474,0,8,0,0,The Regard Of Flight
1/5/97,1997,1,114514,43408,0,,30.2,55,3792,3992,8,0.95,0.054,The Rehearsal
1/4/04,2004,1,179051,11614,442303,0.4048,52.96,81.25,3381,6312,8,0.536,-0.032,The Retreat From Moscow
3/26/00,2000,13,287941,287941,506971,0.568,40.33,65,7140,8872,8,0.805,0,The Ride Down Mtmorgan
4/17/94,1994,16,24807,24807,0,,0,0,1320,0,4,0,0,The Rise And Fall Of Little Voice
9/16/07,2007,37,93124,93124,241755,0.3852,42.84,95,2174,3018,3,0.72,0,The Ritz
1/2/05,2005,1,339219,134242,692640,0.4897,59.13,85,5737,8464,8,0.678,0.226,The Rivals
1/4/15,2015,1,756740,-15109,750744,1.008,133.25,275,5679,5568,8,1.02,0.02,The River
1/1/12,2012,1,126109,126109,560210,0.2251,42.65,117,2957,5089,7,0.581,0,The Road To Mecca
1/6/02,2002,1,285946,6143,440964,0.6485,50,85,5719,5504,8,1.039,-0.004,The Rocky Horror Show
4/23/95,1995,17,22162,22162,0,,0,0,1149,2172,3,0.529,0,The Rose Tattoo
9/20/09,2009,38,148558,148558,473200,0.3139,40.89,97,3633,5200,8,0.699,0,The Royal Family
1/2/00,2000,1,356377,161185,674621,0.5283,53.22,75,6696,10928,8,0.613,0.277,The Scarlet Pimpernel
10/10/10,2010,41,174965,174965,589074,0.297,48.74,250,3590,5508,6,0.652,0,The Scottsboro Boys
1/6/08,2008,1,240757,-68636,537173,0.4482,64.7,226.5,3721,6240,8,0.596,-0.113,The Seafarer
9/21/08,2008,38,369609,369609,679190,0.5442,61.16,252,6043,7576,8,0.798,0,The Seagull
1/7/01,2001,1,257600,-117253,312786,0.8236,55.93,65,4606,5432,7,0.848,-0.078,The Search For Signs Of Intelligent Life In The Universe
1/3/93,1993,1,550724,195454,0,,0,0,11818,0,8,0,0,The Secret Garden
10/18/92,1992,42,50347,50347,0,,0,0,2260,0,7,0,0,The Show Off
1/2/94,1994,1,349517,113302,392701,0.89,0,0,8220,8768,8,0.938,0.212,The Sisters Rosensweig
3/10/02,2002,10,61126,61126,203950,0.2997,30.69,70,1992,2985,5,0.667,0,The Smell Of The Kill
10/6/13,2013,40,200041,200041,518000,0.3862,54.2,125,3691,4550,7,0.811,0,The Snow Geese
3/21/93,1993,12,93376,93376,0,,0,0,4126,0,6,0,0,The Song Of Jacob Zulu
1/3/99,1999,1,665277,97349,744624,0.8934,67.88,80,9801,11496,8,0.853,0.092,The Sound Of Music
2/17/91,1991,7,28060,28060,0,,0,0,1903,0,4,0,0,The Speed Of Darkness
2/8/09,2009,6,73812,73812,600521,0.1229,35.73,175,2066,6240,8,0.331,0,The Story Of My Life
1/4/98,1998,1,246576,18982,346680,0.7113,42.12,60,5854,7312,8,0.801,0.061,The Sunshine Boys
1/6/02,2002,1,266111,-161055,492315,0.5405,45.76,70,5815,8368,8,0.695,-0.287,The Tale Of The Allergist S Wife
1/6/85,1985,1,249525,-175637,0,,0,0,7756,0,8,0,0,The Tap Dance Kid
10/15/95,1995,42,321603,321603,437609,0.7349,0,65,6550,8015,7,0.817,0,The Tempest
1/4/15,2015,1,819461,819461,1293810,0.6334,93.33,240,8780,11753,7,0.747,0,The Temptations And The Four Tops On Broadway
1/7/90,1990,1,72076,-1421,0,,0,0,4530,0,8,0,0,The Tenth Man
7/30/17,2017,31,199041,199041,194544,1.0231,100.63,247,1978,2016,2,0.981,0,The Terms Of My Surrender
3/31/13,2013,13,191134,191134,631440,0.3027,47.89,225,3991,5658,6,0.705,0,The Testament Of Mary
3/26/06,2006,13,361936,361936,367225,0.9856,75.39,111.25,4801,5030,5,0.954,0,The Threepenny Opera
10/1/06,2006,40,342274,342274,681683,0.5021,49.66,251.25,6892,7720,8,0.893,0,The Times They Are A Changin 
3/31/13,2013,13,161233,161233,257030,0.6273,82.77,250,1948,2126,2,0.916,0,The Trip To Bountiful
4/6/14,2014,14,135307,135307,669898,0.202,39.96,173,3386,5446,7,0.622,0,The Velocity Of Autumn
1/7/07,2007,1,397993,-172273,671507,0.5927,73.01,201.25,5451,7944,8,0.686,-0.137,The Vertical Hour
10/19/03,2003,42,140064,140064,226053,0.6196,51.1,81,2741,3250,5,0.843,0,The Violet Hour
3/29/15,2015,13,167410,167410,476635,0.3512,46.74,225,3582,4505,5,0.795,0,The Visit
4/2/06,2006,14,292127,292127,551430,0.5298,61.83,251.25,4725,5688,4,0.831,0,The Wedding Singer
3/28/99,1999,13,173926,173926,339151,0.5128,34.45,60,5048,6629,7,0.762,0,The Weir
3/12/00,2000,11,188517,188517,342590,0.5503,48.33,84,3901,4904,4,0.795,0,The Wild Party
9/22/13,2013,38,88627,88627,423850,0.2091,37.52,127,2362,3700,5,0.638,0,The Winslow Boy
1/1/06,2006,1,930123,495122,1208166,0.7699,83.11,250,11191,14535,9,0.77,0.24,The Woman In White
1/6/02,2002,1,355821,-8521,397000,0.8963,58.34,70,6099,5920,8,1.03,0.011,The Women
1/1/89,1989,1,164191,72886,0,,0,0,5486,0,5,0,0,The World According To Me
3/11/07,2007,10,373164,373164,389036,0.9592,84.56,251.25,4413,4692,6,0.941,0,The Year Of Magical Thinking
3/16/97,1997,11,52673,52673,0,,24.46,45,2153,5475,5,0.393,0,The Young Man From Atlanta
1/3/16,2016,1,370028,81797,739501,0.5004,67.87,139,5452,7133,7,0.764,0.174,Th R Se Raquin
1/4/15,2015,1,569187,225931,893374,0.6371,69.11,223,8236,9549,9,0.862,0.128,This Is Our Youth
1/4/04,2004,1,784117,31444,994201,0.7887,70.29,240,11156,12624,8,0.884,0.096,Thoroughly Modern Millie
1/6/91,1991,1,75341,-12331,0,,0,0,2789,0,8,0,0,Those Were The Days
1/6/02,2002,1,179459,-80770,614859,0.2919,42.4,86.25,4233,8264,8,0.512,-0.12,Thou Shalt Not
4/2/06,2006,14,988198,988198,758207,1.3033,113.87,251.25,8678,8592,8,1.01,0,Three Days Of Rain
11/15/92,1992,46,26419,26419,0,,0,0,1340,0,5,0,0,Three From Brooklyn
3/28/93,1993,13,116697,116697,0,,0,0,5123,0,8,0,0,Three Men On A Horse
11/4/84,1984,0,127000,127000,0,,0,0,6793,0,8,0,0,Three Musketeers
10/22/89,1989,43,306813,306813,0,,0,0,6788,0,5,0,0,Three Penny Opera
1/26/97,1997,4,139094,139094,0,,39.87,55,3489,3493,7,0.999,0,Three Sisters
3/4/18,2018,9,283296,283296,415636,0.6816,98.06,273,2889,3148,4,0.918,0,Three Tall Women
4/13/08,2008,15,79175,79175,128146,0.6179,58.43,151.5,1355,1560,2,0.869,0,Thurgood
9/17/17,2017,38,92816,92816,237078,0.3915,52.38,0,1772,2202,3,0.805,0,Time And The Conways
1/2/11,2011,1,456335,338373,936410,0.4873,69.5,250,6566,9711,9,0.676,-0.058,Time Stands Still
10/24/93,1993,43,29472,29472,0,,0,0,1518,0,8,0,0,Timon Of Athens
1/3/99,1999,1,595713,171256,715255,0.8329,60.14,100,9905,11800,8,0.839,0.21,Titanic
7/6/08,2008,27,69299,69299,198534,0.3491,46.51,200,1490,2766,3,0.539,0,Title Of Show
9/21/08,2008,38,134559,134559,476080,0.2826,50.19,95,2681,5200,8,0.516,0,To Be Or Not To Be
1/1/95,1995,1,635902,330630,0,,0,0,12536,0,8,0,0,Tommy
1/3/93,1993,1,546986,349653,0,,0,0,12971,0,9,0,0,Tommy Tune Tonite
4/20/08,2008,16,138652,138652,412650,0.336,46.59,91.5,2976,4550,7,0.654,0,Top Girls
3/17/02,2002,11,69618,69618,517766,0.1345,30.45,76.25,2286,8872,8,0.258,0,Topdog Underdog
1/6/85,1985,1,25000,0,0,,0,0,2000,0,8,0,0,Torch Song Trilogy
1/7/07,2007,1,119161,119161,254192,0.4688,46.64,86.25,2555,5200,5,0.491,0,Translations
4/1/18,2018,13,151212,151212,327612,0.4616,61.27,147,2468,2896,4,0.852,0,Travesties
1/4/98,1998,1,271068,50504,518538,0.5228,52.43,80,5170,8288,8,0.624,0.137,Triumph Of Love
1/7/90,1990,1,78181,-18861,0,,0,0,3934,0,7,0,0,Tru
2/20/00,2000,8,98096,98096,123402,0.7949,44.45,55,2207,2468,4,0.894,0,True West
4/15/90,1990,15,31484,31484,0,,0,0,1927,0,5,0,0,Truly Blessed
4/3/16,2016,14,263150,263150,518943,0.5071,62.03,223,4242,4644,4,0.913,0,Tuck Everlasting
6/21/98,1998,25,101575,101575,182310,0.5572,32.56,60,3120,3219,3,0.969,0,Twelfth Night
1/2/05,2005,1,408193,84216,453440,0.9002,70.72,86.25,5772,5920,8,0.975,0.045,Twelve Angry Men
3/7/04,2004,10,261145,261145,349905,0.7463,47.51,86.25,5497,5920,8,0.929,0,Twentieth Century
10/10/93,1993,41,43948,43948,0,,0,0,1964,0,4,0,0,Twilight Of The Golds
4/10/94,1994,15,22597,22597,0,,0,0,930,0,1,0,0,Twilightlos Angeles
1/5/92,1992,1,66686,582,0,,0,0,5179,0,8,0,0,Two Shakespearean Actors
4/12/92,1992,15,105843,105843,0,,0,0,5204,0,7,0,0,Two Trains Running
4/9/00,2000,15,158893,158893,247893,0.641,39.27,65,4046,6090,6,0.664,0,Uncle Vanya
1/19/86,1986,3,60310,60310,0,,0,0,3296,0,5,0,0,Uptown   It S Hot
3/2/03,2003,9,58766,58766,290306,0.2024,58.47,96.25,1005,3480,3,0.289,0,Urban Cowboy
1/4/04,2004,1,365309,19329,386346,0.9455,73.31,95,4983,5048,8,0.987,0.104,Urinetown
3/10/13,2013,10,305840,305840,717962,0.426,54.79,197,5582,6296,8,0.887,0,Vanya And Sonia And Masha And Spike
2/12/12,2012,7,346117,346117,692160,0.5001,76.46,200,4527,5696,8,0.795,0,Venus In Fur
3/7/99,1999,10,22751,22751,122505,0.1857,22.68,55,1003,2295,3,0.437,0,Via Dolorosa
1/5/97,1997,1,616098,-69741,0,,66.74,75,9232,12808,8,0.721,-0.136,Victor Victoria
2/16/03,2003,7,52471,52471,187430,0.2799,31.25,70,1679,3184,4,0.527,0,Vincent In Brixton
3/30/14,2014,13,169792,169792,381056,0.4456,60.53,142,2805,2908,4,0.965,0,Violet
8/1/99,1999,31,19485,19485,52777,0.3692,24.36,60,800,1086,1,0.737,0,Voices In The Dark
3/29/98,1998,13,199772,199772,206052,0.9695,49.44,60,4041,4176,4,0.968,0,Wait Until Dark
4/5/09,2009,14,204485,204485,339027,0.6032,55.45,116.5,3688,4016,4,0.918,0,Waiting For Godot
1/2/00,2000,1,305700,62575,449712,0.6798,63.69,70,4800,7576,8,0.634,0.13,Waiting In The Wings
1/7/18,2018,1,1079800,-372280,1019480,1.0592,130.88,270,8250,8360,8,0.987,-0.011,Waitress
1/6/13,2013,1,948043,-93405,1063060,0.8918,111.94,175,8469,8552,8,0.99,0.016,War Horse
3/12/17,2017,11,800448,800448,1103212,0.7256,107.8,248,7425,8176,7,0.908,0,War Paint
4/2/89,1989,14,38113,38113,0,,0,0,2155,0,8,0,0,Welcome To The Club
3/12/06,2006,11,60685,60685,272408,0.2228,39.18,86.25,1549,4380,4,0.354,0,Well
1/2/11,2011,1,1403667,531716,1392960,1.0077,107.64,300,13040,13576,8,0.961,0.228,West Side Story
11/20/94,1994,47,109627,109627,0,,0,0,6828,0,8,0,0,What S Wrong With This Picture
1/6/13,2013,1,258795,-85395,666920,0.388,83.08,225,3115,5460,7,0.571,-0.018,Who S Afraid Of Virginia Woolf 
1/2/05,2005,1,279222,137021,441971,0.6318,54.58,76.25,5116,7376,8,0.694,0.23,Whoopi
1/7/18,2018,1,1926621,-1374446,1779845,1.0825,128.32,240,15014,15408,8,0.974,-0.026,Wicked
1/4/87,1987,1,144853,21381,0,,0,0,4937,0,8,0,0,Wild Honey
4/11/93,1993,15,12228,12228,0,,0,0,658,0,4,0,0,Wilder Wilder Wilder
1/3/93,1993,1,578143,149483,0,,0,0,10637,0,8,0,0,Will Rogersfollies
12/1/85,1985,48,68740,68740,0,,0,0,3574,0,7,0,0,Wind In The Willows
1/3/10,2010,1,314422,105813,762545,0.4123,59.92,126.5,5247,7028,7,0.747,0.184,Wishful Drinking
1/8/12,2012,2,121813,121813,352965,0.3451,48.22,116,2526,3250,5,0.777,0,Wit
3/22/15,2015,12,419780,419780,714787,0.5873,99.66,293.5,4212,5532,4,0.761,0,Wolf Hall Parts One Two
1/2/11,2011,1,377877,136028,826800,0.457,60.43,125,6253,7760,8,0.806,0.322,Women On The Verge Of A Nervous Breakdown
10/10/93,1993,41,103070,103070,0,,0,0,4447,0,5,0,0,Wonderful Tennessee
1/2/05,2005,1,772385,331351,949032,0.8139,81.75,95,9448,11496,8,0.822,0.261,Wonderful Town
10/13/91,1991,41,27462,27462,0,,0,0,1390,0,4,0,0,Wonderhouse
3/27/11,2011,13,588153,588153,1432024,0.4107,48.6,200,12103,12896,8,0.939,0,Wonderland
1/6/08,2008,1,230398,-101755,501040,0.4598,69.88,226.25,3297,4768,8,0.691,-0.09,Xanadu
1/4/15,2015,1,610186,-40063,986088,0.6188,91.33,250,6681,8584,8,0.778,-0.023,You Can T Take It With You
1/4/87,1987,1,49547,6270,0,,0,0,2247,0,8,0,0,You Never Can Tell
1/24/99,1999,4,54616,54616,200608,0.2723,40.94,75,1334,3288,3,0.406,0,You Re A Good Man Charlie Brown
1/25/09,2009,4,837353,837353,761273,1.0999,98.52,250,8499,8536,8,0.996,0,You Re Welcome Americaa Final Night With George Wbush
6/10/84,1984,0,267302,267302,0,,0,0,9300,0,8,0,0,Zorba
4/29/90,1990,17,15381,15381,0,,0,0,1055,0,2,0,0,Zoya S Apartment